timestamp,store,url,price,threshold
2025-04-20 22:46:50.968777,FootLocker,https://www.footlocker.es/,79.99,100.0
2025-04-20 22:46:51.027854,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:46:51.042265,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:46:51.070913,FootLocker,https://www.footlocker.es/,39.99,100.0
2025-04-20 22:46:51.097837,FootLocker,https://www.footlocker.es/,69.99,100.0
2025-04-20 22:46:51.143274,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:46:51.192535,FootLocker,https://www.footlocker.es/,79.99,100.0
2025-04-20 22:46:51.239461,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:46:51.259447,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:46:51.307231,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:46:51.329907,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:46:51.401758,FootLocker,https://www.footlocker.es/,79.99,100.0
2025-04-20 22:46:51.441990,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:46:51.500059,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:46:51.546198,FootLocker,https://www.footlocker.es/,94.99,100.0
2025-04-20 22:46:51.558040,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:46:59.098338,JD,https://www.jdsports.es/,70.0,100.0
2025-04-20 22:46:59.133280,JD,https://www.jdsports.es/,70.0,100.0
2025-04-20 22:46:59.290505,JD,https://www.jdsports.es/,70.0,100.0
2025-04-20 22:46:59.402271,JD,https://www.jdsports.es/,70.0,100.0
2025-04-20 22:46:59.589157,JD,https://www.jdsports.es/,70.0,100.0
2025-04-20 22:46:59.692560,JD,https://www.jdsports.es/,70.0,100.0
2025-04-20 22:46:59.741879,JD,https://www.jdsports.es/,80.0,100.0
2025-04-20 22:46:59.810269,JD,https://www.jdsports.es/,60.0,100.0
2025-04-20 22:50:15.283936,FootLocker,https://www.footlocker.es/,79.99,100.0
2025-04-20 22:50:15.340958,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:50:15.356483,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:50:15.385406,FootLocker,https://www.footlocker.es/,39.99,100.0
2025-04-20 22:50:15.423231,FootLocker,https://www.footlocker.es/,69.99,100.0
2025-04-20 22:50:15.462944,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:50:15.516089,FootLocker,https://www.footlocker.es/,79.99,100.0
2025-04-20 22:50:15.565868,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:50:15.578674,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:50:15.631981,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:50:15.657548,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:50:15.736749,FootLocker,https://www.footlocker.es/,79.99,100.0
2025-04-20 22:50:15.773088,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:50:15.838724,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:50:15.887562,FootLocker,https://www.footlocker.es/,94.99,100.0
2025-04-20 22:50:15.899148,FootLocker,https://www.footlocker.es/,99.99,100.0
2025-04-20 22:50:23.650862,JD,https://www.jdsports.es/,70.0,100.0
2025-04-20 22:50:23.675898,JD,https://www.jdsports.es/,70.0,100.0
2025-04-20 22:50:23.874261,JD,https://www.jdsports.es/,70.0,100.0
2025-04-20 22:50:23.976431,JD,https://www.jdsports.es/,70.0,100.0
2025-04-20 22:50:24.102434,JD,https://www.jdsports.es/,70.0,100.0
2025-04-20 22:50:24.190070,JD,https://www.jdsports.es/,70.0,100.0
2025-04-20 22:50:24.240966,JD,https://www.jdsports.es/,80.0,100.0
2025-04-20 22:50:24.301618,JD,https://www.jdsports.es/,60.0,100.0
